EmployeeID,SecondaryManagerID
E078663,E345348
E207920,E268940
E735599,E155015
E758645,E279572
E932695,E435827
E554876,E207920
E192106,E638368
E803626,E130389
E003488,E450794
E572486,E652020
E256762,E158360
E421939,E074690
E772804,E766741
E467674,E069217
E705824,E354056
E705309,E130389
E076912,E182592
E323775,E865076
E305206,E393004
E799523,E543947
E679935,E589302
E979341,E566915
E232432,E061166
E401144,E655753
E668688,E445040
E173985,E858182
E384501,E041473
E592577,E435827
E631160,E182592
E020507,E940886
E152955,E074690
E631160,E731274
E305002,E770788
E110542,E366878
E358515,E652020
E103679,E305490
E550036,E543947
E386920,E135555
E450574,E121865
E939804,E637539
E974328,E305490
E106733,E885984
E670123,E300042
E773087,E460321
E963695,E922514
E344750,E499657
E924514,E859446
E661050,E858182
E155015,E287377
E135683,E944404
E262215,E554049
E394770,E802361
E126519,E816314
E726406,E947585
E660248,E135555
E106733,E606212
E335682,E874261
E283384,E582765
E766745,E546505
E215321,E543947
E289923,E157081
E566598,E843220
E616136,E064317
E615516,E845329
E332565,E300042
E018338,E992131
E471256,E354056
E313199,E582765
E106125,E759450
E178402,E018338
E958714,E061166
E904144,E694643
E317896,E041473
E343718,E770788
E315637,E902414
E209860,E927582
E911581,E963695
E074690,E459306
E171729,E082852
E169926,E718169
E200670,E881428
E021934,E573613
E295720,E616101
E520317,E983845
E480744,E157081
E186838,E927582
E930442,E389627
E818868,E944404
E090916,E606212
E759450,E412317
E156990,E774112
E817192,E905272
E245677,E637539
E844706,E044310
E064224,E771156
E257831,E070207
E044310,E055671
E643498,E345348
E868376,E069217
E015104,E637539
E286308,E552220
E881428,E922514
E859662,E606212
E142263,E513119
E400282,E589302
E326039,E784839
E956909,E055671
E338731,E471265
E705824,E253889
E205504,E191084
E781525,E185992
E889584,E393004
E608271,E708459
E135206,E977963
E993462,E652020
E914530,E157081
E756355,E947585
E185165,E332565
E185184,E420746
E865076,E415320
E126519,E616101
E777748,E191084
E003608,E318391
E705174,E380388
E150220,E655383
E258387,E410231
E911703,E279572
E466974,E655383
E905272,E184306
E182592,E517954
E944404,E121865
E344497,E314332
E537231,E927582
E217727,E070207
E965744,E774112
E308555,E191084
E896104,E573613
E261792,E018338
E919247,E410231
E366878,E552220
E507592,E382751
E755488,E947585
E075942,E542958
E710111,E207920
E116409,E355166
E499414,E207920
E652020,E977963
E135555,E055671
E266294,E135555
E655828,E960776
