Employee1ID,Employee2ID
E977963,E268940
E977963,E300042
E977963,E517954
E977963,E869756
E977963,E582765
E977963,E633887
E977963,E345348
E977963,E472027
E268940,E300042
E268940,E517954
E268940,E582765
E268940,E992131
E268940,E633887
E268940,E345348
E268940,E472027
E202184,E582765
E202184,E992131
E850517,E517954
E850517,E992131
E300042,E633887
E300042,E472027
E517954,E992131
E517954,E345348
E869756,E633887
E869756,E472027
E582765,E992131
E633887,E345348
E633887,E472027
E471265,E784839
E471265,E766741
E471265,E070207
E552220,E784839
E552220,E766741
E552220,E070207
E784839,E070207
E938070,E922514
E938070,E330237
E922514,E330237
E308909,E573613
E843220,E332565
E843220,E241074
E843220,E158360
E843220,E121865
E843220,E960776
E843220,E670123
E332565,E498409
E332565,E121865
E332565,E055671
E332565,E670123
E542958,E023516
E542958,E936416
E314332,E459306
E119608,E287377
E157081,E616101
E157081,E450794
E157081,E415320
E616101,E450794
E450794,E415320
E498409,E241074
E498409,E158360
E498409,E121865
E498409,E960776
E498409,E670123
E241074,E158360
E241074,E121865
E241074,E960776
E241074,E055671
E241074,E670123
E158360,E121865
E158360,E960776
E158360,E055671
E121865,E055671
E121865,E670123
E766741,E070207
E960776,E670123
E191084,E513119
E191084,E410231
E018338,E305490
E018338,E382751
E018338,E943255
E018338,E069217
E018338,E253026
E018338,E283384
E018338,E389627
E018338,E064317
E354056,E305490
E354056,E382751
E354056,E253026
E354056,E283384
E354056,E389627
E305490,E943255
E305490,E069217
E305490,E283384
E305490,E389627
E305490,E064317
E382751,E130389
E382751,E069217
E382751,E283384
E382751,E389627
E943255,E130389
E943255,E253026
E943255,E283384
E943255,E389627
E943255,E064317
E130389,E253026
E069217,E253026
E069217,E283384
E069217,E389627
E069217,E064317
E253026,E283384
E253026,E389627
E655753,E753228
E380388,E771476
E380388,E279572
E771476,E279572
E771476,E753228
E279572,E753228
E957384,E253310
E253310,E402003
E638368,E953733
E638368,E061166
E638368,E083015
E953733,E061166
E953733,E083015
E061166,E083015
E014660,E627557
E014660,E420746
E014660,E632997
E627557,E770788
E770788,E632997
E662790,E589302
E681055,E448427
E681055,E084704
E681055,E589302
E448427,E084704
E313199,E566915
E313199,E543905
E185992,E873180
E185992,E182592
E185992,E395453
E185992,E751612
E185992,E708459
E185992,E499657
E185992,E881428
E185992,E816314
E185992,E207920
E873180,E940886
E873180,E395453
E873180,E865076
E873180,E751612
E873180,E708459
E873180,E655383
E873180,E499657
E873180,E816314
E873180,E253889
E873180,E207920
E940886,E395453
E940886,E270166
E940886,E655383
E940886,E499657
E940886,E207920
E282998,E189550
E282998,E909720
E282998,E874261
E282998,E467967
E282998,E859446
E282998,E820865
E189550,E909720
E189550,E467967
E189550,E820865
E909720,E480723
E909720,E820865
E155015,E506570
E155015,E472669
E155015,E074690
E155015,E718169
E506570,E472669
E506570,E074690
E874261,E467967
E874261,E859446
E467967,E859446
E467967,E480723
E467967,E820865
E859446,E480723
E480723,E820865
E061632,E947585
E061632,E831200
E061632,E899024
E061632,E771156
E947585,E902414
E947585,E774112
E947585,E899024
E947585,E023790
E831200,E902414
E831200,E899024
E831200,E771156
E831200,E023790
E902414,E041473
E902414,E774112
E902414,E899024
E902414,E771156
E041473,E774112
E041473,E771156
E041473,E023790
E774112,E771156
E899024,E771156
E899024,E023790
E771156,E023790
E546505,E944404
E546505,E453905
E546505,E460321
E944404,E453905
E944404,E050883
E944404,E460321
E453905,E050883
E453905,E460321
E050883,E460321
E044310,E717033
E044310,E135555
E717033,E135555
E135555,E988981
E393004,E927582
E393004,E410691
E393004,E637539
E927582,E410691
E927582,E543947
E410691,E543947
E410691,E637539
E543947,E637539
E731274,E313719
E731274,E652020
E313719,E652020
E652020,E741730
E905272,E963695
E905272,E981637
E905272,E775021
E905272,E428266
E983845,E963695
E983845,E981637
E963695,E288211
E963695,E428266
E288211,E981637
E288211,E775021
E288211,E428266
E338731,E103682
E338731,E082852
E338731,E435827
E103682,E082852
E103682,E435827
E082852,E435827
E340160,E239584
E759450,E845329
E239584,E845329
E981637,E428266
E775021,E428266
E694643,E071976
E694643,E517345
E694643,E885984
E694643,E318391
E694643,E820040
E694643,E258024
E071976,E517345
E071976,E885984
E071976,E318391
E071976,E445040
E517345,E885984
E517345,E318391
E517345,E258024
E517345,E445040
E182592,E395453
E182592,E865076
E182592,E270166
E182592,E751612
E182592,E708459
E182592,E881428
E182592,E253889
E182592,E207920
E395453,E865076
E395453,E270166
E395453,E751612
E395453,E708459
E395453,E655383
E395453,E881428
E395453,E253889
E395453,E207920
E865076,E270166
E865076,E751612
E865076,E708459
E865076,E499657
E865076,E881428
E865076,E207920
E270166,E751612
E270166,E708459
E270166,E655383
E270166,E499657
E270166,E816314
E270166,E253889
E751612,E708459
E751612,E655383
E751612,E499657
E751612,E881428
E751612,E816314
E751612,E253889
E751612,E207920
E885984,E318391
E885984,E820040
E885984,E445040
E318391,E820040
E606212,E487504
E606212,E595374
E606212,E737474
E606212,E689877
E606212,E802361
E606212,E366878
E487504,E595374
E487504,E689877
E487504,E355166
E013812,E689877
E013812,E366878
E595374,E689877
E595374,E802361
E595374,E366878
E283384,E064317
E389627,E064317
E554049,E864782
E554049,E858182
E858182,E309995
E737474,E355166
E689877,E355166
E366878,E355166
E708459,E499657
E708459,E881428
E708459,E253889
E708459,E207920
E655383,E499657
E655383,E881428
E655383,E816314
E655383,E207920
E499657,E881428
E499657,E207920
E881428,E816314
E816314,E207920
E370337,E413314
E370337,E918589
E726724,E353453
E726724,E808466
E150336,E735599
E150336,E169926
E150336,E366306
E150336,E295503
E284720,E307884
E284720,E295946
E284720,E440196
E284720,E589506
E536010,E362147
E536010,E703984
E536010,E200670
E536010,E632762
E068422,E083750
E068422,E680333
E068422,E969780
E068422,E748647
E408839,E742099
E408839,E395255
E408839,E563963
E408839,E499801
E408839,E132820
E861630,E006202
E861630,E788426
E861630,E704134
E861630,E708977
E554326,E883870
E554326,E495663
E554326,E149231
E554326,E933670
E562809,E271340
E562809,E929472
E883870,E353453
E883870,E149231
E883870,E282049
E883870,E634957
E883870,E214303
E875826,E891044
E875826,E124068
E875826,E474166
E875826,E665354
E875826,E268537
E639124,E019683
E639124,E385177
E639124,E114548
E639124,E897374
E639124,E093354
E891044,E163822
E891044,E399648
E891044,E582582
E891044,E508049
E642110,E033323
E642110,E428155
E642110,E996288
E642110,E780546
E642110,E788210
E330317,E097861
E330317,E120905
E330317,E362147
E961847,E915908
E961847,E404677
E756355,E462659
E756355,E730063
E770986,E917614
E770986,E186838
E770986,E090427
E770986,E631160
E770986,E747130
E006202,E644509
E006202,E906500
E006202,E330877
E006202,E811552
E930442,E120905
E930442,E039431
E930442,E710503
E930442,E178402
E487412,E515407
E487412,E368351
E487412,E490549
E487412,E491095
E902928,E535155
E902928,E811189
E902928,E471256
E162228,E351363
E162228,E227339
E162228,E371068
E162228,E869119
E945336,E873309
E945336,E833538
E945336,E713932
E945336,E897405
E621660,E236141
E621660,E087735
E621660,E266294
E621660,E529667
E737530,E615516
E737530,E336750
E737530,E889925
E737530,E871814
E919247,E755488
E919247,E844706
E862784,E097861
E862784,E222092
E862784,E509117
E862784,E435742
E189883,E510368
E189883,E851143
E189883,E514092
E602955,E639124
E602955,E019683
E222352,E663657
E222352,E691030
E186838,E739528
E186838,E805679
E186838,E349480
E186838,E119300
E188933,E582582
E188933,E078663
E188933,E704691
E188933,E073486
E188933,E191878
E335635,E517103
E335635,E958082
E335635,E875826
E242659,E483647
E242659,E922365
E358515,E545174
E358515,E384701
E358515,E883023
E233950,E215408
E233950,E991816
E233950,E289923
E233950,E312344
E233950,E163286
E783284,E003488
E783284,E696015
E783284,E394770
E821994,E485457
E821994,E888434
E821994,E547692
E871814,E589541
E871814,E137575
E871814,E497953
E871814,E693744
E526483,E912173
E526483,E097861
E526483,E202473
E563963,E236806
E563963,E453120
E563963,E361385
E563963,E231895
E221831,E765224
E221831,E053426
E221831,E919896
E221831,E784992
E221831,E770986
E330022,E349480
E330022,E857174
E476776,E255625
E476776,E199466
E476776,E399153
E476776,E044115
E476776,E279057
E976447,E843959
E976447,E401144
E976447,E969780
E676842,E282719
E676842,E883870
E676842,E288762
E676842,E293695
E772804,E464305
E772804,E538837
E605010,E844706
E605010,E111458
E605010,E076912
E844706,E052784
E844706,E413567
E844706,E076912
E004004,E752280
E004004,E838293
E004004,E110542
E004004,E922365
E808466,E717387
E808466,E202278
E808466,E969024
E808466,E231895
E844948,E878845
E844948,E576097
E844948,E996127
E844948,E644259
E844948,E467780
E865823,E621660
E865823,E467674
E865823,E092924
E471453,E185738
E471453,E508049
E471453,E191878
E471453,E384501
E397704,E073214
E397704,E989080
E397704,E006202
E397704,E185184
E397704,E256487
E642849,E499487
E642849,E170228
E642849,E782654
E108350,E595679
E108350,E448593
E281144,E142263
E281144,E464300
E405803,E514092
E405803,E589541
E766802,E126540
E766802,E611161
E443387,E508049
E443387,E283141
E443387,E540857
E262215,E358515
E262215,E937032
E262215,E058712
E262215,E497590
E262215,E727973
E338393,E126519
E338393,E509117
E125624,E679261
E125624,E519879
